image_path,character,variant
urdu_ocr_dataset/images/char_1575_28_0.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_1.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_2.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_3.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_4.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_5.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_6.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_7.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_8.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_9.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_10.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_11.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_12.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_13.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_14.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_15.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_16.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_17.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_18.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_19.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_20.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_21.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_22.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_23.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_24.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_25.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_26.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_27.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_28.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_29.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_30.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_31.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_32.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_33.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_34.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_35.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_36.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_37.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_38.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_39.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_40.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_41.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_42.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_43.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_44.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_45.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_46.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_47.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_48.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_49.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_50.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_51.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_52.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_53.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_54.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_55.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_56.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_57.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_58.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_59.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_60.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_61.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_62.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_63.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_64.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_65.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_66.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_67.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_68.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_69.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_70.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_71.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_72.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_73.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_74.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_75.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_76.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_77.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_78.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_79.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_80.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_81.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_82.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_83.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_84.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_85.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_86.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_87.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_88.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_89.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_90.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_91.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_92.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_93.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_94.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_95.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_96.png,ا,isolated
urdu_ocr_dataset/images/char_1575_28_97.png,ا,isolated
